Ratio,Phase
1.0122,2.8721846605622736
1.0123,2.871092154712344
1.0124,2.870004193948255
1.0125,2.8689207238313132
1.0126,2.867841691007421
1.0127,2.866767043177084
1.0128,2.865696729066386
1.0129000000000001,2.8646306983991865
1.013,2.8635689018698005
1.0131,2.8625112911172867
1.0132,2.8614578187000643
1.0132999999999999,2.8604084380716843
1.0133999999999999,2.8593631035572686
1.0135,2.8583217703308303
1.0136,2.8572843943934183
1.0137,2.856250932551697
1.0138,2.8552213423962525
1.0139,2.8541955822872747
1.014,2.853173611326503
1.0141,2.852155389344888
1.0142,2.851140876882753
1.0143,2.8501300351724885
1.0144,2.849122826121751
1.0145,2.8481192122969494
1.0146,2.8471191569072953
1.0147,2.846122623789701
1.0148000000000001,2.84512957739374
1.0149,2.844139982767055
1.015,2.8431538055416303
1.0151000000000001,2.8421710119199224
1.0151999999999999,2.8411915686617983
1.0152999999999999,2.840215443071844
1.0154,2.839242602986647
1.0155,2.8382730167630155
1.0155999999999998,2.8373066532660953
1.0157,2.83634348185807
1.0158,2.8353834723870484
1.0159,2.8344265951764323
1.016,2.833472821014285
1.0161,2.8325221211434837
1.0162,2.8315744672515595
1.0163,2.830629831461303
1.0164,2.8296881863213574
1.0165,2.8287495047972584
1.0166,2.827813760262418
1.0167,2.826880926489729
1.0168,2.825950977643157
1.0169,2.8250238882695924
1.0170000000000001,2.8240996332909143
1.0171,2.8231781879963984
1.0171999999999999,2.8222595280350844
1.0173,2.8213436294085397
1.0174,2.8204304684638037
1.0174999999999998,2.8195200218862593
1.0176,2.8186122666931372
1.0177,2.817707180226796
1.0178,2.8168047401482403
1.0179,2.815904924431028
1.018,2.8150077113550798
1.0181,2.8141130795006966
1.0182,2.81322100774296
1.0183,2.8123314752458257
1.0184,2.8114444614567704
1.0185,2.8105599461013564
1.0186,2.8096779091779953
1.0187,2.808798330952839
1.0188,2.807921191954807
1.0189,2.807046472970601
1.019,2.806174155040054
1.0191,2.805304219451407
1.0191999999999999,2.804436647736845
1.0193,2.803571421667958
1.0193999999999999,2.802708523251491
1.0195,2.8018479347251386
1.0196,2.800989638553226
1.0197,2.800133617422963
1.0198,2.7992798542401984
1.0199,2.798428332125815
1.02,2.7975790344117386
1.0225,2.777024689145706
1.025,2.757633861789718
1.0274999999999999,2.73923794764504
1.0299999999999998,2.7217058293333265
1.0325,2.7049331332878213
1.035,2.6888351498532086
1.0375,2.6733419964303606
1.04,2.6583952115916385
1.0425,2.643945294290693
1.045,2.629949886029468
1.0474999999999999,2.6163724017874097
1.05,2.60318098125175
1.0525,2.590347673234156
1.055,2.5778477928357617
1.0574999999999999,2.56565940862255
1.0599999999999998,2.553762929032271
1.0625,2.5421407654947603
1.065,2.530777055550245
1.0675,2.5196574333924087
1.0699999999999998,2.508768838264242
1.0725,2.4980993533380773
1.075,2.4876380693493574
1.0775,2.4773749684847632
