v1_freq,pin_sum,pout_sum,phase_avg
690000000.0,5.206534627087031e-22,2.1543892930072815e-22,-3.1494857032100345
700000000.0,5.204209601164491e-22,2.1534033697390892e-22,-3.149486977897194
710000000.0,5.202167670858727e-22,2.1526195726207642e-22,-3.1494880988719336
720000000.0,5.198577770835199e-22,2.151137605706151e-22,-3.1494891809371337
730000000.0,5.197066998138366e-22,2.1505176379835544e-22,-3.149490392787482
740000000.0,5.19363315804626e-22,2.149157249654117e-22,-3.1494913602417602
750000000.0,5.191126479469531e-22,2.148088489946478e-22,-3.1494924145679497
760000000.0,5.188899392246747e-22,2.147224710300902e-22,-3.1494934085436204
770000000.0,5.185212910047417e-22,2.145698424259421e-22,-3.1494943819809227
780000000.0,5.183470063214541e-22,2.1449766631577066e-22,-3.149495342522975
790000000.0,5.179936089761218e-22,2.143572445961036e-22,-3.1494960906978053
800000000.0,5.177250983777369e-22,2.1424238052075474e-22,-3.149497071767531
810000000.0,5.174844399776713e-22,2.141483047860726e-22,-3.1494977847045806
820000000.0,5.171056084849717e-22,2.139911488788319e-22,-3.1494985405222518
830000000.0,5.169090796310952e-22,2.1390928676197637e-22,-3.1494993889230383
840000000.0,5.165450818771985e-22,2.1376430551566673e-22,-3.1495000430701525
850000000.0,5.1625925913469385e-22,2.136418019192095e-22,-3.149500777948392
860000000.0,5.160009884106805e-22,2.135402072899217e-22,-3.14950139122162
870000000.0,5.156114602300758e-22,2.1337839479837376e-22,-3.1495020741985176
880000000.0,5.153936323194354e-22,2.1328731129870663e-22,-3.1495028064201924
890000000.0,5.150186787732171e-22,2.131376710384868e-22,-3.149503377329923
900000000.0,5.147160025468724e-22,2.130078082469865e-22,-3.1495038013402583
910000000.0,5.144404121241151e-22,2.1289883986529448e-22,-3.1495045527683896
920000000.0,5.140400152951561e-22,2.127323666280715e-22,-3.1495049923551086
930000000.0,5.138017521886609e-22,2.1263247323462177e-22,-3.149505592544965
940000000.0,5.134155912255611e-22,2.1247810457706825e-22,-3.149506113543587
950000000.0,5.130962500316384e-22,2.1234102949095005e-22,-3.1495065773196207
960000000.0,5.128040954960778e-22,2.122250306976232e-22,-3.149506972040069
970000000.0,5.123923826228844e-22,2.1205375838087695e-22,-3.1495075821912577
980000000.0,5.121345708878761e-22,2.1194546861033884e-22,-3.1495078925633946
990000000.0,5.117370006178114e-22,2.1178631293970546e-22,-3.1495084680766947
